Date,ACWI,AGG,BIL,DBC,EEM,EWJ,GLD,GYLD,IEF,IEV,IVV,IYR,RWX,SHY,TLT,GAL
2/15/2002,,,,,,24.525774,,,,17.960768,80.061386,19.527,,,,
2/19/2002,,,,,,23.581179,,,,17.559441,78.601654,19.449911,,,,
2/20/2002,,,,,,23.918535,,,,17.549887,79.880699,19.527,,,,
2/21/2002,,,,,,24.323364,,,,17.43841,78.204231,19.394499,,,,
2/22/2002,,,,,,24.728195,,,,17.549887,79.223137,19.623375,,,,
2/25/2002,,,,,,24.930601,,,,17.744173,80.50943,19.657099,,,,
2/26/2002,,,,,,24.525774,,,,17.766472,80.357635,19.676378,,,,
2/27/2002,,,,,,25.133017,,,,17.852474,80.668434,19.635429,,,,
2/28/2002,,,,,,25.200483,,,,17.916172,80.242073,19.628189,,,,
3/1/2002,,,,,,26.313766,,,,18.091349,82.207642,19.828159,,,,
3/4/2002,,,,,,27.831861,,,,18.686964,83.587891,20.042585,,,,
3/5/2002,,,,,,27.32583,,,,18.550013,83.392776,20.302784,,,,
3/6/2002,,,,,,28.135489,,,,18.801628,84.353882,20.444925,,,,
3/7/2002,,,,,,29.012608,,,,18.916294,84.144318,20.454569,,,,
3/8/2002,,,,,,28.87767,,,,18.900368,84.483955,20.462629,,,,
3/11/2002,,,,,,29.248764,,,,18.925852,84.681747,20.30138,,,,
3/12/2002,,,,,,28.472843,,,,18.798445,84.710724,20.22563,,,,
3/13/2002,,,,,,27.663185,,,,18.696522,83.819633,20.323351,,,,
3/14/2002,,,,,,28.000544,,,,18.661489,83.725456,20.438198,,,,
3/15/2002,,,,,,28.742725,,,,18.916294,84.558586,20.548145,,,,
3/18/2002,,,,,,27.730659,,,,19.069178,84.544075,20.535927,,,,
3/19/2002,,,,,,28.472843,,,,19.104218,85.116402,20.633656,,,,
3/20/2002,,,,,,27.696924,,,,18.925852,83.645729,20.597004,,,,
3/21/2002,,,,,,27.764391,,,,18.94496,83.508125,20.670317,,,,
3/22/2002,,,,,,27.089678,,,,18.744303,83.334274,20.765593,,,,
3/25/2002,,,,,,26.819799,,,,18.53727,82.247589,20.548145,,,,
3/26/2002,,,,,,26.954735,,,,18.722002,82.566307,20.721626,,,,
3/27/2002,,,,,,27.089678,,,,18.750671,83.138626,20.875547,,,,
3/28/2002,,,,,,27.460773,,,,18.792078,82.943047,20.816904,,,,
4/1/2002,,,,,,26.549911,,,,19.03096,83.203857,20.841337,,,,
4/2/2002,,,,,,26.549911,,,,18.95133,82.551826,20.877989,,,,
4/3/2002,,,,,,27.055948,,,,18.830294,81.921562,20.870661,,,,
4/4/2002,,,,,,27.494505,,,,18.696522,81.660736,20.91465,,,,
4/5/2002,,,,,,27.764391,,,,18.706079,81.57383,21.107664,,,,
4/8/2002,,,,,,27.393303,,,,18.473566,81.646271,21.298237,,,,
4/9/2002,,,,,,27.190886,,,,18.473566,81.175346,21.464382,,,,
4/10/2002,,,,,,27.730659,,,,18.683781,82.167877,21.708712,,,,
4/11/2002,,,,,,26.921001,,,,18.53727,80.219086,21.608547,,,,
4/12/2002,,,,,,26.988472,,,,18.820742,80.726189,21.840643,,,,
4/15/2002,,,,,,26.921001,,,,18.808002,80.161148,21.730701,,,,
4/16/2002,,,,,,27.831861,,,,19.183847,81.9795,21.378874,,,,
4/17/2002,,,,,,27.865608,,,,19.215691,81.885353,21.102774,,,,
4/18/2002,,,,,,28.101749,,,,19.187031,81.494125,21.195625,,,,
4/19/2002,,,,,,28.068014,,,,19.126507,81.798401,21.083231,,,,
4/22/2002,,,,,,28.236692,,,,18.884441,80.49437,20.836447,,,,
4/23/2002,,,,,,28.4391,,,,18.865332,80.110413,20.523708,,,,
4/24/2002,,,,,,28.236692,,,,18.667858,79.291779,20.655645,,,,
4/25/2002,,,,,,28.60778,,,,18.804815,79.400459,20.750937,,,,
4/26/2002,,,,,,28.472843,,,,18.772961,77.879097,20.680088,,,,
4/29/2002,,,,,,28.304163,,,,18.645559,77.451668,20.560362,,,,
4/30/2002,,,,,,28.472843,,,,18.817558,78.205093,20.877989,,,,
5/1/2002,,,,,,28.675257,,,,18.954515,79.074463,21.053915,,,,
