,DBC,EEM,EMB,EWJ,GLD,HDV,HYG,IEF,IEV,IJH,IJR,IVV,IYR,RWX,SHY,TLT
2016-08-31,,0.06814449917898195,0.06814449917898195,,,0.05500821018062398,0.1863711001642036,,,0.1863711001642036,0.1863711001642036,0.1863711001642036,0.06321839080459767,,,
2016-09-30,0.09941520467836257,,0.12280701754385966,,0.11111111111111109,,0.3333333333333333,,,,0.3333333333333333,,,,,
2016-10-31,,0.048283261802575125,0.048283261802575125,0.21995708154506438,,,0.20278969957081544,,,,,0.20278969957081544,,,0.27789699570815446,
2016-11-30,,0.06378378378378378,,0.08108108108108109,,0.08108108108108109,0.23675675675675673,,,0.06378378378378378,0.23675675675675673,0.23675675675675673,,,,
2016-12-30,0.08441558441558442,,,0.07142857142857142,,0.08441558441558442,0.20129870129870128,,0.07142857142857142,0.08441558441558442,0.20129870129870128,0.20129870129870128,,,,
2017-01-31,0.09300184162062616,0.05432780847145487,,0.07826887661141804,,,0.24033149171270718,,0.09300184162062616,0.10773480662983426,0.09300184162062616,0.24033149171270718,,,,
2017-02-28,0.15404040404040406,0.13383838383838384,,0.04797979797979797,,0.04797979797979797,0.25,,,0.06818181818181816,0.04797979797979797,0.25,,,,
2017-03-31,,0.051724137931034475,,0.12561576354679801,,0.09113300492610837,0.1059113300492611,,0.12561576354679801,0.1059113300492611,0.09113300492610837,0.3029556650246305,,,,
2017-04-28,,0.016129032258064495,0.12903225806451615,,,0.19354838709677416,0.11290322580645162,,0.12903225806451615,0.11290322580645162,0.032258064516129004,0.27419354838709675,,,,
2017-05-31,,0.062054208273894455,0.16476462196861627,0.062054208273894455,,0.16619115549215405,0.05064194008559202,,0.16476462196861627,,,0.16476462196861627,,0.16476462196861627,,
2017-06-30,,0.23800738007380073,0.09040590405904061,0.23800738007380073,,,0.10516605166051664,,0.09040590405904061,,,0.23800738007380073,,,,
2017-07-31,,0.24639175257731957,0.08144329896907218,0.24639175257731957,,,0.09793814432989693,,0.08144329896907218,,,0.24639175257731957,,,,
2017-08-31,,0.39041095890410954,0.17123287671232873,0.17123287671232873,,,,0.17123287671232873,0.04794520547945207,,,,,0.04794520547945207,,
2017-09-29,,0.1456876456876457,0.022144522144522102,0.1456876456876457,,,0.33216783216783213,,0.022144522144522102,,,0.33216783216783213,,,,
2017-10-31,,0.16115702479338842,,0.16115702479338842,,,0.32644628099173545,,0.012396694214876077,0.012396694214876077,,0.32644628099173545,,,,
2017-11-30,0.12354948805460751,0.0034129692832764505,,0.12354948805460751,,0.08395904436860067,,,0.08395904436860067,0.12354948805460751,0.12354948805460751,0.22184300341296928,0.11262798634812285,,,
2017-12-29,0.2922422954303932,0.030818278427205064,0.030818278427205064,0.13921360255047827,,0.030818278427205064,,,0.030818278427205064,0.13921360255047827,,0.2922422954303932,,0.013815090329436737,,
2018-01-31,0.30400782013685235,0.006842619745845561,,0.16324535679374388,,0.02248289345063539,,,0.006842619745845561,0.16324535679374388,0.006842619745845561,0.30400782013685235,,0.02248289345063539,,
2018-02-28,0.17274604267033725,0.025464556090846534,,0.17274604267033725,,0.07364074328974535,,,0.07364074328974535,0.17274604267033725,0.06262904335856846,0.17274604267033725,,0.07364074328974535,,
2018-03-30,0.21401515151515152,0.07765151515151514,,0.062499999999999986,0.07765151515151514,,,,,0.21401515151515152,0.07765151515151514,0.062499999999999986,,0.21401515151515152,,
2018-04-30,0.2413793103448276,0.03448275862068966,,0.049001814882032674,0.09618874773139746,,,,0.03448275862068966,0.09618874773139746,0.11070780399274047,0.09618874773139746,,0.2413793103448276,,
2018-05-31,0.34693877551020413,,,,0.06122448979591837,,,,,0.14285714285714288,0.163265306122449,0.14285714285714288,,0.14285714285714288,,
2018-06-29,0.15822784810126583,,,,,,,,,0.15822784810126583,0.3270042194092827,0.1751054852320675,0.1751054852320675,,0.006329113924050634,
2018-07-31,0.012567324955116697,,,,,,0.14542190305206462,,,0.14542190305206462,0.2746858168761221,0.14542190305206462,0.2746858168761221,,0.001795332136445242,
2018-08-31,,,,,,0.04812834224598931,0.14438502673796794,,,0.14438502673796794,0.24064171122994654,0.14438502673796794,0.24064171122994654,,0.037433155080213915,
2018-09-28,0.05484247374562428,,,,,0.14819136522753792,0.2322053675612602,,,0.05484247374562428,0.13885647607934656,0.2322053675612602,0.13885647607934656,,,
2018-10-31,,,,,,0.2039106145251397,0.2039106145251397,0.008379888268156426,,0.09217877094972066,0.09217877094972066,0.2039106145251397,0.09217877094972066,,0.10335195530726257,
2018-11-30,,,,,,0.2931034482758621,0.12068965517241377,0.034482758620689655,,,,0.2931034482758621,0.12068965517241377,,0.13793103448275862,
2018-12-31,,,0.014285714285714263,,0.09047619047619047,0.3571428571428571,,0.05238095238095236,,,,,,,0.43333333333333335,0.05238095238095236
