Date,ACWI,AGG,BIL,DBC,EEM,EMB,EWJ,GAL,GLD,GYLD,HDV,HYG,IEF,IEV,IJH,IJR,IVV,IXUS,IYLD,IYR,RWX,SHY,TLT,MAHIP
12/13/2001,,,,,,,26.583647,,,,,,,18.037851,39.390522,15.220282,80.735367,,,18.774353,,,,
12/14/2001,,,,,,,26.684855,,,,,,,18.317457,39.612095,15.354871,81.376602,,,18.86446,,,,
12/17/2001,,,,,,,26.280031,,,,,,,18.714628,40.072681,15.614527,82.272697,,,19.127075,,,,
12/18/2001,,,,,,,26.482439,,,,,,,18.657433,40.601501,15.760413,82.792976,,,19.093342,,,,
12/19/2001,,,,,,,26.347496,,,,,,,18.42231,40.609581,15.745131,83.342178,,,19.086115,,,,
12/20/2001,,,,,,,26.313766,,,,,,,18.28886,40.072681,15.497826,82.511162,,,18.929506,,,,
12/21/2001,,,,,,,26.347496,,,,,,,18.431837,40.500591,15.781244,82.988083,,,19.021053,,,,
12/24/2001,,,,,,,26.077612,,,,,,,18.33979,40.609581,15.896564,82.843567,,,19.153574,,,,
12/26/2001,,,,,,,25.706522,,,,,,,18.425789,40.984985,16.059113,83.320557,,,19.177658,,,,
12/27/2001,,,,,,,25.8752,,,,,,,18.769781,41.21106,16.125799,83.797424,,,19.225847,,,,
