Date,AAP,AMZN,APTV,AZO,BBY,BKNG,BWA,CCL,CMG,CPRI,DG,DHI,DLTR,DRI,EBAY,EXPE,F,FL,GM,GPC,GPS,GRMN,HAS,HBI,HD,HLT,HOG,HRB,JWN,KMX,KSS,LB,LEG,LEN,LKQ,LOW,M,MAR,MAT,MCD,MGM,MHK,NCLH,NKE,NWL,ORLY,PHM,PVH,RCL,RL,ROST,SBUX,TGT,TIF,TJX,TPR,TSCO,UA,UAA,ULTA,VFC,WHR,WYNN,YUM,XLY
3/26/2015,148.3905,367.35,60.4729,662.04,33.9232,1140.36,55.9215,39.8237,658.82,66.66,71.0007,25.4605,81.02,53.6367,24.4479,89.4527,12.4192,55.854,31.4901,82.3352,36.6621,40.3369,54.8399,30.3883,102.8716,59.3091,53.1278,27.871,65.7609,65.8,63.4672,75.252,39.8304,47.9308,24.13,67.5654,52.6498,76.3155,19.8319,87.2721,20.6464,180.09,51.19,47.412,35.1923,211.19,20.1914,103.9852,69.0739,121.5412,47.785,44.2876,70.1479,79.1241,32.5402,35.7609,80.7882,,39.315,150.005,66.9876,176.4444,116.9546,51.8728,70.383194
3/27/2015,150.357,370.56,60.9448,681.34,33.9939,1135.19,56.1674,42.2444,662.72,66.97,71.2001,26.1665,81.715,54.2575,24.4968,90.3399,12.3959,56.3552,31.4564,82.8702,37.0425,40.4983,55.27,30.7515,104.2356,60.4677,52.6672,27.9146,66.2512,66.69,63.7381,75.9929,40.1848,48.9103,24.77,68.3166,52.9744,76.5476,19.7056,86.6643,20.5596,181.22,53.82,47.6746,35.2645,215.42,20.6606,103.3387,73.5407,120.8505,47.9508,44.283,71.1246,79.2983,32.8089,36.3058,81.6792,,39.85,151.2,67.4228,178.6494,116.3968,51.7143,70.742065
3/30/2015,151.0423,374.59,62.2975,689.38,34.2324,1149.83,57.7846,42.7823,655.36,66.26,71.1336,26.7197,81.81,54.5482,24.6222,90.8317,12.5355,57.9588,31.7683,83.6995,37.2933,40.8977,56.6647,30.5699,104.9405,60.2238,53.8098,27.6357,66.4921,69.22,64.8468,76.693,40.7429,49.9384,24.985,69.3645,53.6319,77.1916,19.7404,87.4866,20.5306,184.72,53.275,48.1566,35.6347,219.38,21.0546,104.7808,74.3696,121.8175,48.6921,44.7068,71.6304,81.2331,33.2238,36.5519,82.0631,,39.955,151.58,68.121,180.9354,117.5124,52.4408,71.469208
3/31/2015,148.6686,372.1,62.7144,682.16,33.3843,1164.15,57.1983,42.8899,650.54,65.75,71.5704,27.1681,81.145,54.4854,24.5181,90.7738,12.52,57.403,31.6166,83.1021,37.4662,40.3794,57.2715,30.4337,104.0067,60.2034,53.801,27.9495,66.7414,69.01,66.2263,76.7663,40.8315,50.2487,25.56,68.9842,54.0231,76.074,19.9147,87.0933,20.2989,185.75,54.01,47.8893,35.2735,216.24,20.8576,105.9742,75.3827,121.1083,48.5172,44.1106,71.5694,80.7012,33.0258,36.4113,80.6271,,40.375,150.85,68.2842,181.8534,116.0557,51.9851,71.157585
4/1/2015,142.7691,370.255,62.0144,692.93,32.8719,1149.6,56.8294,42.5671,652.53,64.08,71.3995,26.9487,81.3,53.016,24.2843,90.8124,12.3416,56.9656,30.9758,81.818,36.7831,39.997,57.7696,31.0422,103.5673,59.5124,53.3935,28.1674,66.1016,68.39,66.1501,75.8545,40.4151,50.2875,25.4,68.9842,54.4725,76.0835,20.1152,86.0654,20.1542,184.66,54.48,47.517,36.0951,215.3,20.9139,106.8095,75.7142,122.2135,47.9001,43.3281,71.5868,78.9773,32.5072,36.5782,80.2953,,39.4,150.98,68.0303,181.2504,115.733,52.0643,70.84594
4/2/2015,142.9976,372.25,63.8469,689.11,33.7642,1160.44,57.7752,43.0064,652.39,63.39,71.7413,27.6737,81.12,53.0003,24.1908,94.4865,12.4347,57.0294,30.7735,82.6919,36.7658,39.4999,57.4617,31.0058,104.8581,59.675,54.0756,28.0192,66.4423,74.73,66.9203,76.0498,40.6898,51.5872,25.58,69.4015,56.47,75.913,19.7404,85.6543,20.5982,185.28,54.46,47.5695,36.3028,215.58,21.2986,106.8792,75.9353,124.0278,47.8541,43.9662,72.0926,79.6009,32.6816,36.7892,81.1579,,39.705,151.33,68.4383,180.3414,119.301,52.6917,71.478668
4/6/2015,144.7356,377.04,65.9075,695.45,33.7554,1185.01,58.7115,42.8181,660.02,63.5,71.7223,27.3875,80.98,52.2931,24.1525,95.0651,12.4114,56.9839,30.9084,83.1734,37.3192,39.6911,58.0956,30.8878,105.2335,60.2034,54.5716,27.8972,66.7165,73.95,66.7003,77.1082,40.5835,50.4912,25.85,69.6056,56.703,76.0361,20.917,86.0565,20.5982,183.41,53.89,47.603,36.6639,216.2,21.2704,108.7488,75.7971,126.9289,47.8679,44.0268,72.6769,81.1139,32.6722,37.3341,81.7456,,40.125,153.27,68.7194,180.9174,120.518,52.6521,71.818626
4/7/2015,145.7089,374.41,65.1839,693.11,33.6228,1184.98,57.6806,43.6698,658.46,64.38,70.4082,26.7388,80.58,52.0652,24.263,94.9591,12.3338,56.0818,30.1243,83.218,36.7977,38.9858,57.6066,30.688,104.6384,59.3295,54.3856,27.6183,66.3592,73.42,66.3194,76.3592,40.486,49.211,25.67,68.7246,56.5532,74.9658,20.8298,86.1191,20.3762,181.1,53.15,47.5457,36.2035,216.125,20.8013,110.4395,74.3419,128.1906,47.3475,43.8172,72.0403,80.7104,32.3657,37.2286,80.9257,,40.42,151.45,68.5743,177.9564,117.8996,51.7011,71.421997
4/8/2015,147.7946,381.2,65.4435,698.24,33.8879,1192.25,58.2291,43.5802,654.55,64.88,72.446,27.2253,83.53,53.4639,24.2758,95.1326,12.3959,57.0659,30.4447,82.7989,36.8672,39.3682,57.996,30.9695,105.8194,62.0124,55.2093,27.7665,66.891,74.07,65.8031,76.921,40.7252,49.7153,25.95,69.3737,58.0929,75.9461,20.8647,86.566,20.8395,183.41,54.76,48.1328,36.1673,218.1,21.0828,110.1411,75.0327,128.4209,47.8909,44.3575,72.5024,81.985,32.6863,37.5977,81.1105,,41.36,152.17,68.5381,176.5254,119.1903,51.9785,72.092491
4/9/2015,147.0398,383.54,66.2457,695.77,34.1971,1186,58.3615,43.4905,651.72,65.24,72.0556,27.1681,82.75,53.2183,24.2333,94.3322,12.3726,57.0021,30.5964,82.8524,37.1454,39.5891,58.1499,31.3328,104.8856,63.2116,55.4396,27.8187,66.4838,74.11,65.7354,76.9373,40.3974,48.9685,25.83,68.8544,56.5948,75.984,21.1523,86.2978,21.824,184.25,54.81,48.0755,36.1041,218.52,20.9327,110.4196,75.53,129.1761,47.7435,44.6789,72.6333,81.8658,32.3563,37.7911,81.5181,,42.095,151.8,68.2479,176.5434,125.9667,52.3901,72.158615
4/10/2015,149.1751,382.65,66.6232,701.73,34.0822,1189.5,57.9832,43.3292,683.02,64.6,72.4365,27.2921,82.87,54.4858,24.3736,95.6582,12.4347,56.5101,30.8325,83.1734,35.7632,39.6486,58.1545,31.3328,105.499,62.9067,55.3688,27.7054,66.6749,73.19,66.3533,77.0838,40.1051,48.9782,25.845,69.4572,57.5603,76.074,21.1175,87.4151,21.7661,183.86,54.51,47.7175,36.1493,220.015,20.9421,109.7732,74.8209,127.2052,47.6399,44.8745,72.8774,82.0216,32.3092,37.8174,82.7314,,41.875,151.68,68.529,176.1024,125.4043,53.1203,72.404129
4/13/2015,148.1621,382.36,66.0412,699.05,33.8702,1199.75,57.2266,42.8809,683.73,64.12,71.5699,27.0727,81.82,54.3432,24.2035,95.2387,12.3106,56.2914,30.6892,82.781,35.7023,39.7633,57.8511,31.0149,104.7666,61.9514,55.3068,27.9059,66.5171,73.01,65.7862,76.3185,39.7684,48.8909,25.57,68.4464,57.5519,75.9698,21.1872,87.0933,21.2352,182.41,53.78,47.3834,35.7701,218.22,20.8576,108.2914,73.6696,126.6618,47.9784,45.182,72.3455,81.6824,32.1253,37.3428,82.9399,,42.555,152,67.8943,174.5455,123.1732,53.585,72.007507
4/14/2015,148.033,385.11,66.1592,695.81,33.3932,1204.71,57.255,42.5761,677.85,62.94,71.6937,27.4161,81.05,53.7887,24.2078,94.5926,12.3881,55.4349,30.7566,82.6384,35.7719,39.8185,58.3944,30.7788,104.4096,61.5246,55.0676,27.6706,65.8025,72.46,64.8129,76.3104,40.0696,49.4341,25.495,68.604,56.5948,75.07,21.4051,87.2185,21.0036,183.36,53.73,47.5075,35.7701,217.04,21.1485,109.1466,73.7525,126.2566,47.7988,44.9956,72.4327,80.1419,31.7198,36.9474,82.7788,,42.005,153.49,67.6948,176.2284,117.5769,52.8548,71.969727
4/15/2015,148.5594,383.45,65.8682,694.17,33.1723,1200.95,57.4442,42.1457,677.6,63.76,70.951,27.7023,81.21,53.1153,24.2354,94.4624,12.4657,55.6718,31.1444,82.5224,35.6936,40.4728,58.7024,30.7425,103.8603,61.4026,54.6513,27.8449,64.9466,72.4,64.4913,75.9847,39.9988,49.8899,25.585,68.0755,56.5199,74.7859,22.111,86.1995,21.3704,181.49,53.03,47.6507,35.7791,215.91,21.3737,108.3212,73.1631,126.6987,47.5962,44.8466,71.4734,80.1602,31.4652,36.7013,81.9446,,42.105,153.56,67.5951,175.4544,119.8726,52.8415,71.969727
4/16/2015,148.9765,386.04,66.0805,692.4,32.8543,1206.09,57.586,42.3788,681.55,63.72,71.8366,27.149,81.03,52.6242,24.2439,93.7054,12.3649,55.5803,31.2625,82.139,35.598,40.4558,59.8163,30.6789,103.787,60.6912,54.6602,27.8972,65.2291,71.68,64.5844,74.9019,39.3432,48.6388,25.62,68.6968,56.3202,74.3597,22.0239,85.4755,21.187,176.39,53.135,47.6841,35.4902,215.41,20.9608,107.0482,73.9551,126.4684,47.6422,44.9444,71.4385,78.6197,31.3427,37.7999,81.9636,,42.855,154.16,67.5679,172.2145,117.411,52.7685,72.111382
4/17/2015,148.7779,375.56,65.4907,683.43,32.2094,1187.53,57.4253,42.1457,683.95,63.25,70.8653,26.9678,79.14,51.4438,23.7147,92.6687,12.2252,54.2628,30.8915,81.7466,35.3198,39.6571,59.6714,30.4972,102.6244,60.1628,53.677,27.2174,63.5091,70.61,63.0271,72.8177,38.5636,47.1161,25.22,67.278,55.3048,73.5357,23.3094,84.8052,20.685,177.1,52.21,47.0397,34.9485,214.05,20.8201,103.1697,72.7855,123.2082,46.2331,44.3622,69.7816,77.5652,30.7628,37.2637,82.466,,42.57,152.05,66.8607,170.6395,115.7054,52.9411,71.04425
4/20/2015,151.3601,389.51,65.5379,689.36,32.3154,1191.42,57.8319,41.6796,686.93,62.16,71.6842,26.7484,79.71,51.6656,23.8337,93.9272,12.3416,54.7386,31.2878,82.5492,35.2938,40.4218,67.1609,30.6789,103.3201,60.6912,54.7133,27.7054,63.7334,70.97,63.755,73.99,39.29,46.8154,25.49,67.5654,55.5878,75.5531,23.7234,85.9671,21.0711,176.88,51.26,47.7271,35.2916,217.15,20.548,103.1796,66.9649,126.1277,47.1012,44.6882,70.5752,77.822,31.1022,37.3868,83.9162,,43.88,151.59,67.0692,175.3644,118.8861,53.8306,71.828079
4/21/2015,151.3601,391.18,65.3019,690.73,32.2005,1194.26,57.6428,41.7692,692.52,62.22,72.3793,27.2444,80.78,51.7211,23.9804,94.8048,12.2718,54.9673,31.3299,82.4422,35.3025,40.4218,66.6084,30.7788,103.6039,61.1994,49.3545,28.0279,64.4896,70.88,63.4334,75.0892,39.2635,47.6987,25.46,68.1329,55.7875,76.2161,23.7234,84.7962,20.9553,179.63,51.48,47.8703,35.6347,217.07,20.8388,103.1498,68.07,125.2067,47.7159,45.0609,70.8543,77.1618,31.2531,36.464,86.0869,,41.76,152.97,67.3956,174.5725,116.8762,53.6713,71.90361
4/22/2015,150.4762,389.8,65.1839,693.41,31.962,1212.9,57.6806,41.7961,641.23,62.31,72.2079,25.7849,80.565,51.6498,24.1228,95.9234,12.3416,54.8941,31.3299,82.9505,35.3807,39.895,64.9602,30.9877,103.4392,61.0165,49.8062,28.1674,64.8219,70.84,64.2459,74.1936,39.2635,46.9901,25.52,67.9747,55.7625,76.5144,24.7169,87.4509,21.2642,182.02,51.095,47.8034,35.6527,216.67,20.3509,102.7619,67.4438,125.6119,47.8471,45.0282,70.9328,78.0329,31.3097,36.5519,86.0964,,41.135,153.94,67.0148,172.5925,118.9921,55.7889,71.969727
4/23/2015,145.6891,389.99,65.4278,702.33,31.9178,1221.1,57.3969,41.5002,635.6,63.34,72.6079,24.9454,81.01,52.133,25.0324,95.3882,12.2252,55.5529,30.2845,83.0486,35.8327,40.0565,64.9421,31.4054,104.3272,61.6059,50.444,28.4462,65.2208,70.72,64.9822,74.6169,39.0686,45.3497,25.58,68.2538,56.1121,77.0495,25.205,86.7001,21.3124,178.54,51.66,48.2617,35.7701,228.31,18.7371,104.7111,66.9833,126.5145,48.1257,46.0483,71.4473,79.3258,31.2719,37.2374,86.504,,41.63,156.99,67.0148,171.8275,118.084,55.8088,72.32859
4/24/2015,147.596,445.1,65.6794,702,31.2641,1233.09,57.4915,41.5809,637.5,63.48,72.9507,25.3461,81.14,53.0836,25.1642,95.3689,12.233,55.6809,30.0062,82.032,35.5198,39.2492,64.8515,29.2621,104.0891,61.5449,50.692,28.1151,64.9466,69.97,63.1287,74.2506,39.2546,45.8059,25.58,68.0585,55.7542,77.5136,26.3206,88.2553,21.2352,179.26,51.41,48.1853,35.6979,229.35,18.8779,103.8559,66.7438,125.6856,48.0659,48.2935,72.1187,79.8851,31.2531,37.4835,86.2385,,41.28,157.08,66.8244,176.8404,119.9371,57.8203,73.31073
4/27/2015,144.0007,438.56,65.0581,692.38,31.2111,1253.2,57.9076,41.0789,643.75,63.02,72.5603,25.0503,80.42,52.236,25.1174,95.2966,12.3338,54.9582,30.1664,81.5593,34.7374,39.4531,64.3036,28.8988,101.9744,60.2441,50.9311,27.8013,64.0824,68.81,61.7068,73.5504,38.7319,45.01,25.25,66.8305,54.8803,77.0685,25.1004,86.1995,21.158,178.01,50.2,48.1805,35.5444,225.13,18.6433,103.4581,64.8926,124.9764,47.1886,47.3898,70.9676,78.8306,30.7911,37.2022,85.9257,,40.725,155.91,66.6068,178.0464,118.7755,57.495,72.668541
