Date,BIL,SHY,SPY,XLB,XLC,XLE,XLF,XLI,XLK,XLP,XLRE,XLU,XLV,XLY
7/19/2010,89.513268,79.033012,90.302841,24.582922,,42.660648,7.507008,23.708374,18.704336,21.059399,,22.020641,24.952347,26.727972
7/20/2010,89.513268,79.061172,91.30442,25.323864,,43.635792,7.586753,24.0779,18.825682,21.313032,,22.217846,24.883059,27.107151
7/21/2010,89.513268,79.098778,90.117661,25.241537,,42.922863,7.464474,24.019108,18.600328,21.083183,,21.874575,24.475986,26.622154
7/22/2010,89.513268,79.07058,92.12925,25.784897,,43.873447,7.682456,24.758156,19.103037,21.320959,,22.225149,24.631887,27.424608
7/23/2010,89.532776,79.033012,92.928856,26.352951,,44.070103,7.740937,25.253653,19.233047,21.519108,,22.261669,24.623226,27.821428
7/26/2010,89.493736,79.004829,93.896751,26.509373,,44.45525,7.847268,25.665178,19.354395,21.630072,,22.422344,24.978327,28.235888
7/27/2010,89.493736,78.957817,93.888359,26.295326,,44.242191,7.868534,25.488806,19.406397,21.709335,,22.751013,25.004311,27.87434
7/28/2010,89.513268,79.033012,93.282341,26.212999,,44.143852,7.799419,25.421619,19.250383,21.590448,,22.641457,24.666531,27.680336
7/29/2010,89.493736,79.098778,92.82785,26.188297,,44.209404,7.826002,25.337639,19.077036,21.328888,,22.29089,24.649204,27.539244
7/30/2010,89.513268,79.13636,92.81102,26.352951,,44.119274,7.820684,25.438421,18.999033,21.384371,,22.181324,24.744482,27.72443
8/2/2010,89.493736,79.1185,94.906761,27.060968,,45.659832,8.017398,25.942312,19.397736,21.630072,,22.641457,25.212173,28.315247
8/3/2010,89.493736,79.174942,94.452278,26.567007,,45.643436,7.927018,25.807941,19.293726,21.439842,,22.531902,25.420042,27.883154
8/4/2010,89.493736,79.109093,95.083519,26.813986,,45.995815,7.958917,26.034698,19.449739,21.519108,,22.62685,25.671206,28.350523
8/5/2010,89.493736,79.20314,94.982529,26.871616,,46.143311,7.927018,26.051493,19.363066,21.424,,22.59033,25.679859,28.438704
8/6/2010,89.493736,79.221954,94.595345,26.748129,,45.594284,7.857897,25.908722,19.311056,21.471556,,22.634153,25.731834,28.244701
8/9/2010,89.493736,79.174942,95.100357,26.912779,,45.782753,7.900434,26.043098,19.441072,21.582518,,22.714495,25.801121,28.518066
8/10/2010,89.513268,79.21257,94.586929,26.624634,,45.405815,7.831318,25.866734,19.241718,21.630072,,22.845961,25.861753,28.271164
8/11/2010,89.532776,79.231384,91.994583,25.727264,,44.053715,7.554857,24.900932,18.782347,21.273403,,22.385834,25.194853,27.530434
8/12/2010,89.532776,79.21257,91.430641,25.891922,,43.791485,7.50169,24.724564,18.522326,21.249626,,22.342003,25.298777,27.424608
8/13/2010,89.532776,79.20314,91.161331,25.768427,,43.717739,7.480425,24.690969,18.435644,21.241699,,22.422344,25.203506,27.115973
8/16/2010,89.513268,79.278366,91.119255,25.883688,,43.709557,7.459158,24.640577,18.470318,21.217924,,22.422344,25.073603,27.107151
8/17/2010,89.532776,79.259605,92.238655,26.492907,,44.438854,7.517641,25.068893,18.66967,21.424,,22.641457,25.420042,27.548065
8/18/2010,89.513268,79.278366,92.406975,26.591698,,44.012733,7.549538,25.161274,18.773678,21.439842,,22.517296,25.385391,27.803789
8/19/2010,89.513268,79.297203,90.799416,25.982485,,43.299835,7.374092,24.623787,18.548323,21.186218,,22.195936,24.9177,27.265879
8/20/2010,89.532776,79.268959,90.504822,25.924852,,42.767174,7.352826,24.497812,18.504986,21.186218,,22.25436,24.831087,27.248247
8/23/2010,89.513268,79.278366,90.159752,25.636705,,42.783569,7.304978,24.229061,18.340307,21.233774,,22.400436,24.943678,27.001341
