,SHY,XLB,XLC,XLE,XLF,XLI,XLK,XLP,XLRE,XLU,XLV,XLY
2010-02-26,0.6999999999999998,,,,,,,,,0.30000000000000004,,
2010-03-31,,0.16666666666666666,,0.25000000000000006,,,0.16666666666666666,,,0.16666666666666666,0.25000000000000006,
2010-04-30,,0.07142857142857148,,0.07142857142857148,0.6428571428571427,,0.07142857142857148,,,,0.07142857142857148,0.07142857142857148
2010-05-31,,0.0,,0.0,0.5,0.0,0.0,0.5,,,0.0,0.0
2010-06-30,,0.07317073170731707,,0.07317073170731707,0.07317073170731707,0.07317073170731707,0.07317073170731707,0.3170731707317073,,0.17073170731707316,0.07317073170731707,0.07317073170731707
2010-07-30,,0.02702702702702705,,0.02702702702702705,0.02702702702702705,0.02702702702702705,0.02702702702702705,0.2972972972972973,,0.24324324324324317,0.2972972972972973,0.02702702702702705
2010-08-31,,0.06818181818181818,,0.06818181818181818,0.06818181818181818,0.06818181818181818,0.06818181818181818,0.29545454545454547,,,0.29545454545454547,0.06818181818181818
2010-09-30,,0.0967741935483871,,0.0967741935483871,0.0967741935483871,0.0967741935483871,0.0967741935483871,,,,0.41935483870967744,0.0967741935483871
2010-10-29,,,,,0.3333333333333333,0.3333333333333333,,,,,,0.3333333333333333
2010-11-30,,,,,,,,,,,,
2010-12-31,,,,,0.09090909090909088,0.09090909090909088,0.36363636363636365,,,0.09090909090909088,0.36363636363636365,
2011-01-31,,0.14285714285714288,,,0.14285714285714288,0.14285714285714288,0.14285714285714288,,,0.14285714285714288,0.14285714285714288,0.14285714285714288
2011-02-28,,0.10344827586206892,,,0.2413793103448277,0.2413793103448277,0.10344827586206892,,,0.10344827586206892,0.10344827586206892,0.10344827586206892
2011-03-31,,0.0,,,0.0,0.25,0.25,0.25,,0.0,0.0,0.25
2011-04-29,,0.030303030303030325,,0.030303030303030325,0.030303030303030325,0.3333333333333333,0.2727272727272727,,,0.030303030303030325,,0.2727272727272727
2011-05-31,,0.11475409836065574,,0.11475409836065574,0.11475409836065574,0.049180327868852465,0.11475409836065574,,,0.21311475409836067,,0.2786885245901639
2011-06-30,,0.15789473684210525,,0.15789473684210525,0.15789473684210525,0.017543859649122806,0.15789473684210525,0.017543859649122806,,,,0.3333333333333333
2011-07-29,,0.0740740740740741,,0.2592592592592593,0.2592592592592593,0.0740740740740741,0.0740740740740741,,,,,0.2592592592592593
2011-08-31,,0.06306306306306306,,0.15315315315315314,0.15315315315315314,0.06306306306306306,0.06306306306306306,0.11711711711711714,,0.2072072072072072,0.02702702702702703,0.15315315315315314
2011-09-30,,0.14285714285714285,,0.2857142857142857,0.14285714285714285,0.14285714285714285,0.0,0.14285714285714285,,,0.0,0.14285714285714285
2011-10-31,,,,,,,,0.9,,,0.09999999999999998,
2011-11-30,,,,,,,,,,,,
2011-12-30,,,,,,,,,,,,
2012-01-31,,,,1.0,,,,,,,,
2012-02-29,,,,0.5,,,,,,0.5,,
2012-03-30,,0.25,,0.25,0.0,0.25,,,,0.0,0.25,
2012-04-30,,0.0909090909090909,,0.0909090909090909,0.0909090909090909,0.0909090909090909,0.27272727272727265,0.0909090909090909,,0.0909090909090909,0.0909090909090909,0.0909090909090909
2012-05-31,,0.1764705882352941,,0.1764705882352941,0.019607843137254895,0.019607843137254895,0.1764705882352941,0.1764705882352941,,0.019607843137254895,0.019607843137254895,0.21568627450980393
2012-06-29,,0.0588235294117647,,0.0588235294117647,0.0588235294117647,0.0588235294117647,0.0588235294117647,0.35294117647058826,,0.0588235294117647,0.0588235294117647,0.23529411764705888
2012-07-31,,0.4615384615384617,,0.07692307692307693,0.07692307692307693,0.07692307692307693,0.07692307692307693,0.07692307692307693,,,0.07692307692307693,0.07692307692307693
2012-08-31,,0.055555555555555594,,0.055555555555555594,,0.055555555555555594,0.055555555555555594,0.6111111111111109,,0.055555555555555594,0.055555555555555594,0.055555555555555594
2012-09-28,,0.0625,,0.2500000000000001,0.0625,0.0625,0.0625,0.3750000000000001,,0.0625,,0.0625
2012-10-31,,0.23913043478260868,,0.021739130434782625,,0.19565217391304343,0.021739130434782625,0.23913043478260868,,0.021739130434782625,0.021739130434782625,0.23913043478260868
2012-11-30,,0.12962962962962962,,0.12962962962962962,,0.2407407407407407,0.05555555555555556,0.12962962962962962,,0.12962962962962962,0.05555555555555556,0.12962962962962962
2012-12-31,,0.04615384615384616,,0.04615384615384616,0.10769230769230771,0.26153846153846155,0.04615384615384616,0.20000000000000004,,0.04615384615384616,0.04615384615384616,0.20000000000000004
2013-01-31,,0.07692307692307691,,0.07692307692307691,0.07692307692307691,0.23076923076923073,0.07692307692307691,0.23076923076923073,,0.07692307692307691,0.07692307692307691,0.07692307692307691
2013-02-28,,0.10344827586206899,,0.10344827586206899,0.0689655172413793,0.24137931034482757,0.10344827586206899,0.10344827586206899,,0.0689655172413793,0.10344827586206899,0.10344827586206899
2013-03-29,,0.10344827586206899,,0.10344827586206899,0.0689655172413793,0.24137931034482757,0.10344827586206899,0.10344827586206899,,0.0689655172413793,0.10344827586206899,0.10344827586206899
2013-04-30,,0.0,,1.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0
